NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE,TEAM
15.0,Julian Phillips,SF,6-8,198.0,2003-11-05,US US,1,Tennessee,CHI
25.0,Dalen Terry,SG,6-7,195.0,2002-07-12,US US,2,Arizona,CHI
7.0,Jalen Smith,PF,6-10,215.0,2000-03-16,US US,4,Maryland,CHI
14.0,Matas Buzelis,SF,6-10,209.0,2004-10-13,US US,R,,CHI
8.0,Zach LaVine,SG,6-5,200.0,1995-03-10,US US,10,UCLA,CHI
22.0,Talen Horton-Tucker,SG,6-4,234.0,2000-11-25,US US,5,Iowa State,CHI
2.0,Lonzo Ball,PG,6-6,190.0,1997-10-27,US US,5,UCLA,CHI
27.0,Chris Duarte,SG,6-6,190.0,1997-06-13,DO DO,3,Oregon,CHI
5.0,Jevon Carter,PG,6-1,200.0,1995-09-14,US US,6,West Virginia,CHI
21.0,Adama Sanogo (TW),C,6-9,245.0,2002-02-12,ML ML,1,UConn,CHI
13.0,Torrey Craig,SF,6-7,221.0,1990-12-19,US US,7,USC Upstate,CHI
,DJ Steward (TW),SG,6-2,163.0,2001-10-02,US US,R,Duke,CHI
,E.J. Liddell (TW),PF,6-7,240.0,2000-12-18,US US,1,Ohio State,CHI
45.0,Donovan Mitchell,SG,6-3,215.0,1996-09-07,US US,7,Louisville,CLE
10.0,Darius Garland,PG,6-1,192.0,2000-01-26,US US,5,Vanderbilt,CLE
4.0,Evan Mobley,C,6-11,215.0,2001-06-18,US US,3,USC,CLE
31.0,Jarrett Allen,C,6-11,243.0,1998-04-21,US US,7,Texas,CLE
2.0,Ty Jerome,SG,6-5,195.0,1997-07-08,US US,5,Virginia,CLE
5.0,Sam Merrill,SG,6-4,205.0,1996-05-15,US US,4,Utah State University,CLE
20.0,Georges Niang,PF,6-7,230.0,1993-06-17,US US,8,Iowa State,CLE
35.0,Isaac Okoro,SG,6-5,225.0,2001-01-26,US US,4,Auburn,CLE
3.0,Caris LeVert,SG,6-6,205.0,1994-08-25,US US,8,Michigan,CLE
32.0,Dean Wade,PF,6-9,228.0,1996-11-20,US US,5,Kansas State,CLE
9.0,Craig Porter Jr.,PG,6-2,186.0,2000-02-26,US US,1,"Vincennes University, Wichita State",CLE
13.0,Tristan Thompson,PF,6-9,254.0,1991-03-13,CA CA,13,Texas,CLE
24.0,Jaylon Tyson,SG,6-6,215.0,2002-12-02,US US,R,"Texas, Texas Tech, California",CLE
33.0,Luke Travers (TW),SG,6-8,199.0,2001-09-03,AU AU,R,,CLE
,Max Strus,SF,6-5,215.0,1996-03-28,US US,5,"Lewis (IL), DePaul",CLE
,Emoni Bates (TW),SF,6-10,170.0,2004-01-28,US US,1,"Memphis, Eastern Michigan",CLE
,JT Thor (TW),PF,6-10,205.0,2002-08-26,US US,3,Auburn,CLE
77.0,Luka Dončić,PG,6-7,230.0,1999-02-28,SI SI,6,,DAL
11.0,Kyrie Irving,PG,6-2,195.0,1992-03-23,AU AU,13,Duke,DAL
31.0,Klay Thompson,SG,6-6,215.0,1990-02-08,US US,11,Washington State,DAL
21.0,Daniel Gafford,PF,6-10,234.0,1998-10-01,US US,5,Arkansas,DAL
13.0,Naji Marshall,SF,6-7,220.0,1998-01-24,US US,4,Xavier,DAL
5.0,Quentin Grimes,SG,6-5,205.0,2000-05-08,US US,3,"Kansas, Houston",DAL
25.0,P.J. Washington,PF,6-7,230.0,1998-08-23,US US,5,Kentucky,DAL
26.0,Spencer Dinwiddie,PG,6-5,215.0,1993-04-06,US US,10,Colorado,DAL
1.0,Jaden Hardy,SG,6-4,198.0,2002-07-05,US US,2,,DAL
7.0,Dwight Powell,C,6-10,240.0,1991-07-20,CA CA,10,Stanford,DAL
2.0,Dereck Lively II,C,7-1,230.0,2004-02-12,US US,1,Duke,DAL
8.0,Olivier-Maxence Prosper,PF,6-8,230.0,2002-07-03,CA CA,1,"Clemson, Marquette",DAL
10.0,Brandon Williams (TW),PG,6-2,190.0,1999-11-22,US US,2,Arizona,DAL
42.0,Maxi Kleber,PF,6-10,240.0,1992-01-29,DE DE,7,,DAL
0.0,Jazian Gortman (TW),PG,6-2,184.0,2003-04-14,US US,R,,DAL
20.0,Kessler Edwards (TW),SF,6-8,215.0,2000-08-09,US US,3,Pepperdine,DAL
88.0,Markieff Morris,PF,6-9,245.0,1989-09-02,US US,13,Kansas,DAL
,Dante Exum,PG,6-5,214.0,1995-07-13,AU AU,7,,DAL
15.0,Nikola Jokić,C,6-11,284.0,1995-02-19,RS RS,9,,DEN
1.0,Michael Porter Jr.,SF,6-10,218.0,1998-06-29,US US,5,Missouri,DEN
0.0,Christian Braun,SG,6-6,218.0,2001-04-17,US US,2,Kansas,DEN
4.0,Russell Westbrook,PG,6-4,200.0,1988-11-12,US US,16,UCLA,DEN
3.0,Julian Strawther,SG,6-7,205.0,2002-04-18,US US,1,Gonzaga,DEN
8.0,Peyton Watson,SG,6-8,200.0,2002-09-11,US US,2,UCLA,DEN
32.0,Aaron Gordon,PF,6-8,235.0,1995-09-16,US US,10,Arizona,DEN
27.0,Jamal Murray,PG,6-4,215.0,1997-02-23,CA CA,7,Kentucky,DEN
5.0,Hunter Tyson,PF,6-8,215.0,2000-06-13,US US,1,Clemson,DEN
9.0,Dario Šarić,PF,6-10,225.0,1994-04-08,HR HR,7,,DEN
22.0,Zeke Nnaji,PF,6-9,240.0,2001-01-09,US US,4,Arizona,DEN
6.0,DeAndre Jordan,C,6-11,265.0,1988-07-21,US US,16,Texas A&M,DEN
23.0,Trey Alexander (TW),SG,6-4,185.0,2003-05-02,US US,R,Creighton,DEN
24.0,Jalen Pickett,SG,6-4,209.0,1999-10-22,US US,1,"Siena College, Penn State",DEN
